==13758== Memcheck, a memory error detector
==13758== Copyright (C) 2002-2009, and GNU GPL'd, by Julian Seward et al.
==13758== Using Valgrind-3.6.0.SVN-Debian and LibVEX; rerun with -h for copyright info
==13758== Command: ../cs378-collatz/RunCollatz.c++.app
486001 487000 382
487001 488000 391
488001 489000 382
489001 490000 351
490001 491000 320
491001 492000 320
492001 493000 426
493001 494000 395
494001 495000 351
495001 496000 320
496001 497000 320
497001 498000 289
498001 499000 351
499001 500000 395
500001 501000 364
501001 502000 320
502001 503000 426
503001 504000 320
504001 505000 364
505001 506000 364
506001 507000 382
507001 508000 364
508001 509000 377
509001 510000 364
510001 511000 333
511001 512000 470
512001 513000 333
513001 514000 351
514001 515000 364
515001 516000 395
516001 517000 302
517001 518000 333
518001 519000 439
519001 520000 364
520001 521000 333
521001 522000 364
522001 523000 333
523001 524000 302
524001 525000 364
525001 526000 408
526001 527000 408
527001 528000 377
528001 529000 377
529001 530000 333
530001 531000 346
531001 532000 346
532001 533000 377
533001 534000 377
534001 535000 346
535001 536000 302
536001 537000 333
537001 538000 377
538001 539000 346
539001 540000 346
540001 541000 417
541001 542000 364
542001 543000 346
543001 544000 359
544001 545000 315
545001 546000 346
546001 547000 452
547001 548000 377
548001 549000 333
549001 550000 315
550001 551000 346
551001 552000 377
552001 553000 315
553001 554000 346
554001 555000 421
555001 556000 390
556001 557000 346
557001 558000 315
558001 559000 315
559001 560000 284
560001 561000 359
561001 562000 328
562001 563000 359
563001 564000 328
564001 565000 421
565001 566000 328
566001 567000 359
567001 568000 359
568001 569000 359
569001 570000 359
570001 571000 377
571001 572000 359
572001 573000 372
573001 574000 359
574001 575000 328
575001 576000 346
576001 577000 390
577001 578000 399
578001 579000 346
579001 580000 359
580001 581000 266
581001 582000 328
582001 583000 328
583001 584000 434
584001 585000 372
585001 586000 359
586001 587000 359
587001 588000 328
588001 589000 315
589001 590000 297
590001 591000 359
591001 592000 403
592001 593000 328
593001 594000 328
594001 595000 328
595001 596000 328
596001 597000 372
597001 598000 372
598001 599000 341
599001 600000 372
600001 601000 372
601001 602000 403
602001 603000 297
603001 604000 297
604001 605000 372
605001 606000 341
606001 607000 328
607001 608000 341
608001 609000 412
609001 610000 359
610001 611000 341
611001 612000 354
612001 613000 310
613001 614000 310
614001 615000 310
615001 616000 447
616001 617000 372
617001 618000 372
618001 619000 310
619001 620000 341
620001 621000 372
621001 622000 372
622001 623000 310
623001 624000 354
624001 625000 385
625001 626000 354
626001 627000 374
627001 628000 341
628001 629000 279
629001 630000 279
630001 631000 341
631001 632000 310
632001 633000 385
633001 634000 354
634001 635000 310
635001 636000 416
636001 637000 310
637001 638000 354
638001 639000 354
639001 640000 354
640001 641000 425
641001 642000 372
642001 643000 416
643001 644000 279
644001 645000 279
645001 646000 310
646001 647000 323
647001 648000 341
648001 649000 323
649001 650000 394
650001 651000 341
651001 652000 336
652001 653000 354
653001 654000 385
654001 655000 323
655001 656000 385
656001 657000 429
657001 658000 354
658001 659000 398
659001 660000 354
660001 661000 323
661001 662000 323
662001 663000 292
663001 664000 292
664001 665000 367
665001 666000 398
666001 667000 323
667001 668000 367
668001 669000 323
669001 670000 292
670001 671000 323
671001 672000 323
672001 673000 367
673001 674000 336
674001 675000 367
675001 676000 385
676001 677000 336
677001 678000 336
678001 679000 380
679001 680000 367
680001 681000 336
681001 682000 336
682001 683000 305
683001 684000 380
684001 685000 336
685001 686000 354
686001 687000 398
687001 688000 390
688001 689000 292
689001 690000 336
690001 691000 336
691001 692000 442
692001 693000 323
693001 694000 367
694001 695000 367
695001 696000 336
696001 697000 336
697001 698000 318
698001 699000 367
699001 700000 367
700001 701000 367
701001 702000 411
702001 703000 380
703001 704000 349
704001 705000 369
705001 706000 380
706001 707000 305
707001 708000 349
708001 709000 349
709001 710000 336
710001 711000 380
711001 712000 380
712001 713000 411
713001 714000 380
714001 715000 305
715001 716000 305
716001 717000 380
717001 718000 349
718001 719000 336
719001 720000 349
720001 721000 420
721001 722000 367
722001 723000 411
723001 724000 349
724001 725000 362
725001 726000 305
726001 727000 349
727001 728000 318
728001 729000 362
729001 730000 318
730001 731000 389
731001 732000 336
732001 733000 380
733001 734000 349
734001 735000 349
735001 736000 424
736001 737000 318
737001 738000 380
738001 739000 424
739001 740000 424
740001 741000 393
741001 742000 318
742001 743000 349
743001 744000 318
744001 745000 318
745001 746000 349
746001 747000 287
747001 748000 362
748001 749000 318
749001 750000 393
750001 751000 362
751001 752000 331
752001 753000 318
753001 754000 424
754001 755000 318
755001 756000 362
756001 757000 362
757001 758000 331
758001 759000 362
759001 760000 362
760001 761000 380
761001 762000 362
762001 763000 331
763001 764000 375
764001 765000 362
765001 766000 331
766001 767000 331
767001 768000 468
768001 769000 331
769001 770000 402
770001 771000 349
771001 772000 344
772001 773000 393
773001 774000 362
774001 775000 331
775001 776000 437
776001 777000 331
777001 778000 393
778001 779000 437
779001 780000 362
780001 781000 356
781001 782000 362
782001 783000 331
783001 784000 331
784001 785000 313
785001 786000 375
786001 787000 300
787001 788000 362
788001 789000 406
789001 790000 406
790001 791000 375
791001 792000 344
792001 793000 437
793001 794000 375
794001 795000 331
795001 796000 331
796001 797000 468
797001 798000 344
798001 799000 300
799001 800000 375
800001 801000 375
801001 802000 406
802001 803000 388
803001 804000 300
804001 805000 331
805001 806000 375
806001 807000 344
807001 808000 406
808001 809000 331
809001 810000 344
810001 811000 415
811001 812000 287
812001 813000 362
813001 814000 375
814001 815000 313
815001 816000 357
816001 817000 344
817001 818000 344
818001 819000 450
819001 820000 357
820001 821000 450
821001 822000 375
822001 823000 369
823001 824000 375
824001 825000 326
825001 826000 344
826001 827000 313
827001 828000 419
828001 829000 313
829001 830000 375
830001 831000 344
831001 832000 419
832001 833000 388
833001 834000 357
834001 835000 344
835001 836000 313
836001 837000 344
837001 838000 525
838001 839000 344
839001 840000 388
840001 841000 357
841001 842000 313
842001 843000 388
843001 844000 331
844001 845000 357
845001 846000 401
846001 847000 313
847001 848000 419
848001 849000 313
849001 850000 357
850001 851000 357
851001 852000 357
852001 853000 326
853001 854000 357
854001 855000 428
855001 856000 388
856001 857000 375
857001 858000 357
858001 859000 370
859001 860000 295
860001 861000 357
861001 862000 326
862001 863000 326
863001 864000 344
864001 865000 326
865001 866000 397
866001 867000 326
867001 868000 344
868001 869000 357
869001 870000 388
870001 871000 326
871001 872000 432
872001 873000 326
873001 874000 326
874001 875000 388
875001 876000 432
876001 877000 370
877001 878000 401
878001 879000 326
879001 880000 357
880001 881000 326
881001 882000 326
882001 883000 313
883001 884000 370
884001 885000 295
885001 886000 370
886001 887000 401
887001 888000 401
888001 889000 295
889001 890000 370
890001 891000 339
891001 892000 326
892001 893000 295
893001 894000 326
894001 895000 370
895001 896000 326
896001 897000 370
897001 898000 339
898001 899000 370
899001 900000 295
900001 901000 401
901001 902000 401
902001 903000 383
903001 904000 295
904001 905000 383
905001 906000 295
906001 907000 417
907001 908000 326
908001 909000 370
909001 910000 326
910001 911000 476
911001 912000 383
912001 913000 410
913001 914000 357
914001 915000 370
915001 916000 339
916001 917000 339
917001 918000 393
918001 919000 339
919001 920000 432
920001 921000 339
921001 922000 339
922001 923000 445
923001 924000 308
924001 925000 370
925001 926000 339
926001 927000 370
927001 928000 476
928001 929000 383
929001 930000 339
930001 931000 370
931001 932000 308
932001 933000 370
933001 934000 370
934001 935000 414
935001 936000 414
936001 937000 383
937001 938000 430
938001 939000 445
939001 940000 372
940001 941000 383
941001 942000 339
942001 943000 339
943001 944000 352
944001 945000 383
945001 946000 352
946001 947000 383
947001 948000 383
948001 949000 383
949001 950000 352
950001 951000 414
951001 952000 383
952001 953000 414
953001 954000 414
954001 955000 383
955001 956000 339
956001 957000 352
957001 958000 352
958001 959000 321
959001 960000 352
960001 961000 423
961001 962000 352
962001 963000 383
963001 964000 414
964001 965000 352
965001 966000 321
966001 967000 365
967001 968000 308
968001 969000 321
969001 970000 352
970001 971000 458
971001 972000 352
972001 973000 321
973001 974000 383
974001 975000 392
975001 976000 391
976001 977000 383
977001 978000 334
978001 979000 383
979001 980000 334
980001 981000 427
981001 982000 321
982001 983000 383
983001 984000 383
984001 985000 352
985001 986000 427
986001 987000 352
987001 988000 396
988001 989000 321
989001 990000 352
990001 991000 321
991001 992000 321
992001 993000 352
993001 994000 290
994001 995000 365
995001 996000 365
996001 997000 365
997001 998000 352
998001 999000 396
999001 999999 396
500 1499 182
1500 2499 209
2500 3499 217
3500 4499 238
4500 5499 210
5500 6499 262
6500 7499 257
7500 8499 252
8500 9499 260
9500 10499 255
10500 11499 268
11500 12499 263
12500 13499 276
13500 14499 258
14500 15499 271
15500 16499 266
16500 17499 266
17500 18499 279
18500 19499 261
19500 20499 274
20500 21499 256
21500 22499 269
22500 23499 269
23500 24499 282
24500 25499 264
25500 26499 277
26500 27499 308
27500 28499 259
28500 29499 272
29500 30499 272
30500 31499 285
31500 32499 285
32500 33499 267
33500 34499 311
34500 35499 311
35500 36499 324
36500 37499 262
37500 38499 306
38500 39499 275
39500 40499 306
40500 41499 288
41500 42499 288
42500 43499 257
43500 44499 270
44500 45499 314
45500 46499 283
46500 47499 314
47500 48499 283
48500 49499 296
49500 50499 296
50500 51499 309
51500 52499 278
52500 53499 340
53500 54499 260
54500 55499 260
55500 56499 322
56500 57499 304
57500 58499 273
58500 59499 273
59500 60499 317
60500 61499 335
61500 62499 317
62500 63499 330
63500 64499 299
64500 65499 268
65500 66499 268
66500 67499 268
67500 68499 312
68500 69499 281
69500 70499 312
70500 71499 325
71500 72499 263
72500 73499 294
73500 74499 294
74500 75499 325
75500 76499 307
76500 77499 351
77500 78499 307
78500 79499 338
79500 80499 320
80500 81499 320
81500 82499 307
82500 83499 320
83500 84499 320
84500 85499 289
85500 86499 302
86500 87499 333
87500 88499 333
88500 89499 315
89500 90499 315
90500 91499 333
91500 92499 284
92500 93499 315
93500 94499 284
94500 95499 328
95500 96499 297
96500 97499 297
97500 98499 297
98500 99499 328
99500 100499 341
100500 101499 297
101500 102499 310
102500 103499 310
103500 104499 297
104500 105499 341
105500 106499 354
106500 107499 323
107500 108499 279
108500 109499 292
109500 110499 310
110500 111499 323
111500 112499 323
112500 113499 305
113500 114499 305
114500 115499 305
115500 116499 349
116500 117499 305
117500 118499 336
118500 119499 318
119500 120499 318
120500 121499 274
121500 122499 336
122500 123499 331
123500 124499 318
124500 125499 318
125500 126499 318
126500 127499 331
127500 128499 331
128500 129499 331
129500 130499 344
130500 131499 331
131500 132499 331
132500 133499 331
133500 134499 313
134500 135499 344
135500 136499 313
136500 137499 331
137500 138499 313
138500 139499 313
139500 140499 344
140500 141499 313
141500 142499 326
142500 143499 375
143500 144499 326
144500 145499 295
145500 146499 295
146500 147499 357
147500 148499 295
148500 149499 326
149500 150499 370
150500 151499 295
151500 152499 308
152500 153499 308
153500 154499 352
154500 155499 308
155500 156499 383
156500 157499 308
157500 158499 339
158500 159499 352
159500 160499 370
160500 161499 290
161500 162499 321
162500 163499 339
163500 164499 321
164500 165499 334
165500 166499 352
166500 167499 321
167500 168499 321
168500 169499 334
169500 170499 290
170500 171499 334
171500 172499 334
172500 173499 347
173500 174499 334
174500 175499 303
175500 176499 334
176500 177499 334
177500 178499 347
178500 179499 303
179500 180499 365
180500 181499 316
181500 182499 316
182500 183499 334
183500 184499 316
184500 185499 329
185500 186499 316
186500 187499 347
187500 188499 316
188500 189499 316
189500 190499 360
190500 191499 285
191500 192499 329
192500 193499 347
193500 194499 329
194500 195499 360
195500 196499 329
196500 197499 298
197500 198499 329
198500 199499 329
199500 200499 342
200500 201499 311
201500 202499 342
202500 203499 342
203500 204499 311
204500 205499 355
205500 206499 342
206500 207499 373
207500 208499 311
208500 209499 311
209500 210499 342
210500 211499 355
211500 212499 355
212500 213499 324
213500 214499 373
214500 215499 280
215500 216499 386
216500 217499 342
217500 218499 324
218500 219499 337
219500 220499 355
220500 221499 355
221500 222499 337
222500 223499 324
223500 224499 324
224500 225499 368
225500 226499 293
226500 227499 368
227500 228499 355
228500 229499 275
229500 230499 306
230500 231499 443
231500 232499 337
232500 233499 368
233500 234499 381
234500 235499 337
235500 236499 337
236500 237499 350
237500 238499 319
238500 239499 350
239500 240499 306
240500 241499 368
241500 242499 319
242500 243499 319
243500 244499 337
244500 245499 275
245500 246499 319
246500 247499 350
247500 248499 319
248500 249499 350
249500 250499 332
250500 251499 319
251500 252499 319
252500 253499 306
253500 254499 332
254500 255499 363
255500 256499 288
256500 257499 345
257500 258499 288
258500 259499 301
259500 260499 345
260500 261499 332
261500 262499 301
262500 263499 407
263500 264499 332
264500 265499 332
265500 266499 332
266500 267499 345
267500 268499 301
268500 269499 345
269500 270499 416
270500 271499 363
271500 272499 270
272500 273499 314
273500 274499 358
274500 275499 345
275500 276499 314
276500 277499 314
277500 278499 389
278500 279499 314
279500 280499 345
280500 281499 358
281500 282499 327
282500 283499 358
283500 284499 327
284500 285499 376
285500 286499 296
286500 287499 327
287500 288499 389
288500 289499 398
289500 290499 327
290500 291499 327
291500 292499 340
292500 293499 358
293500 294499 327
294500 295499 358
295500 296499 327
296500 297499 327
297500 298499 327
298500 299499 371
299500 300499 371
300500 301499 340
301500 302499 296
302500 303499 340
303500 304499 340
304500 305499 309
305500 306499 309
306500 307499 309
307500 308499 371
308500 309499 327
309500 310499 371
310500 311499 371
311500 312499 384
312500 313499 353
313500 314499 309
314500 315499 340
315500 316499 322
316500 317499 353
317500 318499 309
318500 319499 353
319500 320499 353
320500 321499 371
321500 322499 278
322500 323499 322
323500 324499 322
324500 325499 384
325500 326499 322
326500 327499 322
327500 328499 322
328500 329499 353
329500 330499 353
330500 331499 322
331500 332499 353
332500 333499 335
333500 334499 335
334500 335499 322
335500 336499 366
336500 337499 322
337500 338499 366
338500 339499 291
339500 340499 366
340500 341499 304
341500 342499 335
342500 343499 353
343500 344499 304
344500 345499 304
345500 346499 441
346500 347499 348
347500 348499 335
348500 349499 291
349500 350499 366
350500 351499 379
351500 352499 348
352500 353499 335
353500 354499 348
354500 355499 379
355500 356499 379
356500 357499 304
357500 358499 379
358500 359499 348
359500 360499 419
360500 361499 366
361500 362499 361
362500 363499 273
363500 364499 317
364500 365499 361
365500 366499 335
366500 367499 348
367500 368499 317
368500 369499 348
369500 370499 392
370500 371499 348
371500 372499 317
372500 373499 286
373500 374499 348
374500 375499 361
375500 376499 330
376500 377499 423
377500 378499 361
378500 379499 361
379500 380499 379
380500 381499 299
381500 382499 374
382500 383499 330
383500 384499 330
384500 385499 348
385500 386499 343
386500 387499 268
387500 388499 330
388500 389499 436
389500 390499 361
390500 391499 361
391500 392499 330
392500 393499 299
393500 394499 361
394500 395499 405
395500 396499 330
396500 397499 330
397500 398499 374
398500 399499 330
399500 400499 374
400500 401499 387
401500 402499 299
402500 403499 268
403500 404499 343
404500 405499 414
405500 406499 361
406500 407499 343
407500 408499 299
408500 409499 312
409500 410499 449
410500 411499 374
411500 412499 330
412500 413499 343
413500 414499 374
414500 415499 374
415500 416499 387
416500 417499 343
417500 418499 343
418500 419499 312
419500 420499 343
420500 421499 325
421500 422499 356
422500 423499 325
423500 424499 418
424500 425499 356
425500 426499 356
426500 427499 356
427500 428499 374
428500 429499 281
429500 430499 312
430500 431499 325
431500 432499 343
432500 433499 396
433500 434499 343
434500 435499 356
435500 436499 325
436500 437499 387
437500 438499 294
438500 439499 400
439500 440499 356
440500 441499 325
441500 442499 294
442500 443499 356
443500 444499 338
444500 445499 338
445500 446499 325
446500 447499 325
447500 448499 369
448500 449499 369
449500 450499 369
450500 451499 387
451500 452499 294
452500 453499 369
453500 454499 338
454500 455499 325
455500 456499 338
456500 457499 356
457500 458499 338
458500 459499 294
459500 460499 307
460500 461499 444
461500 462499 369
462500 463499 325
463500 464499 338
464500 465499 369
465500 466499 369
466500 467499 369
467500 468499 413
468500 469499 351
469500 470499 338
470500 471499 307
471500 472499 276
472500 473499 338
473500 474499 382
474500 475499 351
475500 476499 307
476500 477499 382
477500 478499 351
478500 479499 338
479500 480499 422
480500 481499 369
481500 482499 382
482500 483499 276
483500 484499 307
484500 485499 320
485500 486499 338
486500 487499 391
487500 488499 382
488500 489499 351
489500 490499 320
490500 491499 320
491500 492499 320
492500 493499 426
493500 494499 395
494500 495499 351
495500 496499 320
496500 497499 289
497500 498499 351
498500 499499 333
499500 500499 395
500500 501499 333
501500 502499 426
502500 503499 320
503500 504499 364
504500 505499 320
505500 506499 364
506500 507499 382
507500 508499 364
508500 509499 377
509500 510499 364
510500 511499 333
511500 512499 470
512500 513499 333
513500 514499 351
514500 515499 395
515500 516499 302
516500 517499 333
517500 518499 333
518500 519499 439
519500 520499 364
520500 521499 364
521500 522499 333
522500 523499 333
523500 524499 302
524500 525499 364
525500 526499 408
526500 527499 377
527500 528499 346
528500 529499 377
529500 530499 302
530500 531499 346
531500 532499 333
532500 533499 377
533500 534499 346
534500 535499 315
535500 536499 333
536500 537499 377
537500 538499 346
538500 539499 333
539500 540499 346
540500 541499 417
541500 542499 346
542500 543499 346
543500 544499 359
544500 545499 315
545500 546499 346
546500 547499 452
547500 548499 377
548500 549499 333
549500 550499 346
550500 551499 346
551500 552499 377
552500 553499 315
553500 554499 421
554500 555499 390
555500 556499 359
556500 557499 346
557500 558499 315
558500 559499 284
559500 560499 359
560500 561499 346
561500 562499 328
562500 563499 359
563500 564499 315
564500 565499 421
565500 566499 284
566500 567499 359
567500 568499 346
568500 569499 359
569500 570499 377
570500 571499 297
571500 572499 359
572500 573499 372
573500 574499 359
574500 575499 328
575500 576499 346
576500 577499 399
577500 578499 346
578500 579499 359
579500 580499 328
580500 581499 328
581500 582499 328
582500 583499 328
583500 584499 434
584500 585499 359
585500 586499 359
586500 587499 328
587500 588499 328
588500 589499 315
589500 590499 359
590500 591499 359
591500 592499 403
592500 593499 328
593500 594499 328
594500 595499 297
595500 596499 372
596500 597499 341
597500 598499 372
598500 599499 372
599500 600499 372
600500 601499 403
601500 602499 385
602500 603499 297
603500 604499 372
604500 605499 341
605500 606499 328
606500 607499 341
607500 608499 412
608500 609499 359
609500 610499 341
610500 611499 354
611500 612499 297
612500 613499 310
613500 614499 310
614500 615499 447
615500 616499 372
616500 617499 328
617500 618499 372
618500 619499 341
619500 620499 266
620500 621499 372
621500 622499 372
622500 623499 310
623500 624499 354
624500 625499 385
625500 626499 374
626500 627499 310
627500 628499 341
628500 629499 279
629500 630499 341
630500 631499 310
631500 632499 385
632500 633499 354
633500 634499 323
634500 635499 310
635500 636499 416
636500 637499 354
637500 638499 354
638500 639499 341
639500 640499 354
640500 641499 425
641500 642499 416
642500 643499 354
643500 644499 279
644500 645499 310
645500 646499 323
646500 647499 323
647500 648499 341
648500 649499 394
649500 650499 341
650500 651499 336
651500 652499 354
652500 653499 354
653500 654499 385
654500 655499 323
655500 656499 385
656500 657499 429
657500 658499 398
658500 659499 323
659500 660499 354
660500 661499 323
661500 662499 292
662500 663499 292
663500 664499 367
664500 665499 323
665500 666499 398
666500 667499 367
667500 668499 336
668500 669499 323
669500 670499 323
670500 671499 323
671500 672499 367
672500 673499 336
673500 674499 367
674500 675499 367
675500 676499 385
676500 677499 305
677500 678499 336
678500 679499 380
679500 680499 367
680500 681499 336
681500 682499 336
682500 683499 336
683500 684499 380
684500 685499 354
685500 686499 274
686500 687499 398
687500 688499 390
688500 689499 336
689500 690499 336
690500 691499 336
691500 692499 442
692500 693499 367
693500 694499 305
694500 695499 367
695500 696499 336
696500 697499 336
697500 698499 367
698500 699499 305
699500 700499 367
700500 701499 305
701500 702499 411
702500 703499 380
703500 704499 336
704500 705499 380
705500 706499 336
706500 707499 274
707500 708499 349
708500 709499 349
709500 710499 380
710500 711499 380
711500 712499 349
