==13896== Memcheck, a memory error detector
==13896== Copyright (C) 2002-2009, and GNU GPL'd, by Julian Seward et al.
==13896== Using Valgrind-3.6.0.SVN-Debian and LibVEX; rerun with -h for copyright info
==13896== Command: ./anh787-RunCollatz.c++.app
691594 78338 470
873744 750435 468
667502 749253 442
505149 514314 470
30730 462138 449
758369 916242 476
205556 129958 383
862641 963566 476
745149 343992 470
233566 727287 470
473940 863947 470
955630 518466 476
16284 566998 470
262279 119227 443
165988 388881 443
639062 371786 470
467218 27011 449
636425 134721 470
290468 141575 443
649034 321198 470
603712 921607 476
751644 809267 468
51566 614285 470
287038 310919 389
958276 34808 476
38206 432217 449
898754 508040 470
950682 429242 476
75039 727165 470
548469 755230 447
116047 701735 470
127016 583264 470
242950 763440 470
232189 533417 470
905014 881223 401
368819 508726 449
317035 120464 443
832197 368600 470
734748 633439 442
193723 693025 470
668247 746133 442
639446 81206 470
254173 104333 443
510448 843415 470
831497 573121 468
598645 461748 470
274856 239865 407
559217 32010 470
3306 791405 470
565426 422524 470
186833 448450 449
445455 503868 444
568913 791856 468
386672 817865 470
425296 580395 470
25095 607747 470
326528 664540 470
203157 580700 470
768872 227809 470
424116 114575 449
800929 536965 468
576322 589989 434
776830 135539 470
621998 780135 468
926944 701629 476
716863 113777 470
150079 162318 383
131849 718991 470
954174 518521 476
51061 379470 443
98916 76156 351
501421 939647 476
740695 704577 424
34552 23773 311
932386 458667 476
138347 247520 443
509837 228873 449
837509 286667 470
878616 973711 476
581006 319765 470
675340 297869 470
947745 825418 476
460187 79595 449
58614 928565 476
598115 109675 470
822239 211235 470
185830 323660 443
150882 440729 449
28237 185433 383
464501 960622 476
158305 117052 383
722347 182346 470
345925 559856 470
469012 738745 470
533567 50018 470
58510 208908 383
862090 6255 470
548530 836481 468
600053 121349 470
765046 712372 424
231023 587285 470
923606 931056 383
910944 588692 476
371785 453386 449
288330 836286 470
928212 960838 445
467542 650559 470
143184 813466 470
724619 126400 470
66416 258187 443
690621 124925 470
981298 552711 476
645384 44033 470
389193 245437 441
165381 668443 470
472014 910607 476
769933 909824 468
841663 195082 470
12722 727653 470
648467 815255 468
78144 90885 338
776093 545685 468
741443 433481 470
873356 466063 470
74085 939771 476
238454 764705 470
64697 733956 470
317416 224285 443
777988 220813 470
983925 943369 458
403461 455939 449
853976 173394 470
365764 209845 443
368475 378485 423
937497 16943 476
193740 15641 383
107827 484037 449
561325 363474 470
431722 948885 476
343741 505806 449
888657 582194 468
270511 467558 449
316150 102131 443
691842 608343 447
837148 675767 468
551712 240609 470
645911 919892 476
414002 11675 449
643941 782476 468
904363 581438 468
313623 612307 470
111283 935653 476
96344 186813 383
813332 528065 468
135698 157073 383
548075 24355 470
253472 818585 470
491912 83826 449
434920 697958 470
692168 272068 470
887930 758084 468
512676 533841 439
677977 440882 470
59720 836122 470
223359 478287 449
931765 51186 476
90594 43048 351
501044 186937 449
229860 314376 443
229206 365558 443
985652 777280 476
904116 239124 470
110070 910233 476
322950 544989 470
122396 15118 354
817057 10326 470
773202 843937 468
58371 965383 476
284820 632294 470
801505 22383 470
110581 733270 470
73568 715378 470
290523 88816 443
902314 520382 468
403191 645724 470
400144 388844 436
937208 818465 476
627967 47278 470
728698 465121 470
106472 851093 470
480239 923528 476
375624 767645 470
281670 948198 476
247233 566489 470
580493 562942 421
103076 205278 383
810417 176644 470
920656 100940 476
779663 337175 470
135526 182855 383
497104 49875 449
85903 434312 449
868339 228074 470
481590 111242 449
693195 102266 470
476539 687638 470
25794 852162 470
455283 821667 470
800361 216720 470
902361 895058 401
779661 5437 470
614540 590078 403
696284 535196 452
205222 475948 449
386576 854952 470
658802 883679 468
904826 744704 468
317991 287370 389
972777 313785 476
912815 180177 476
416050 389354 449
867814 956047 476
755721 837301 468
777715 70287 470
54021 680076 470
965344 347887 476
199717 579884 470
452169 896001 470
629285 171596 470
371949 15861 443
26548 30751 308
899539 445578 470
289659 731734 470
732947 776640 468
559724 159967 470
956817 975773 458
549320 338836 470
446026 819245 470
690342 737945 442
889531 744362 468
932225 854875 476
606453 131942 470
948964 58623 476
27943 92454 351
230218 399891 443
108314 770969 470
944845 522057 476
216547 748708 470
767995 463698 470
525349 327719 470
623664 996370 476
817697 172984 470
849410 263723 470
992229 539752 476
515872 395965 470
798319 448097 470
250841 404772 441
580038 714009 447
977598 122186 476
806462 722020 468
522076 428980 470
492989 981126 476
465241 709535 470
729834 233236 470
173233 769387 470
560955 796896 468
279962 892856 470
484085 643577 470
670783 990518 476
183329 186655 329
386483 495852 449
634751 151528 470
900624 728993 468
865536 392427 470
851178 186203 470
114448 887459 470
615182 607436 447
382790 80423 443
316972 626828 470
827863 4409 470
910420 388818 476
801305 704586 468
795878 285390 470
348163 466661 449
275908 45697 443
653315 662390 429
541548 288066 470
813918 956376 476
531263 193659 470
348804 382442 423
379862 977455 476
784105 509248 470
584891 166895 470
103876 416067 449
793722 931738 476
420476 704142 470
834760 735985 468
408729 630638 470
535579 271096 470
97299 811486 470
316792 264818 389
988080 372545 476
67088 316203 443
328921 598350 470
24067 191929 383
494996 918132 476
683588 279101 470
427380 782684 470
960199 45460 476
712955 753922 424
491402 133431 449
972268 326162 476
383620 895201 470
471004 919198 476
680502 82507 470
244889 997293 476
347324 232970 441
884042 928615 476
63377 727168 470
526966 87443 470
433301 21962 449
5575 116890 354
815267 947159 476
899573 775466 468
506823 612528 470
43593 998225 476
260164 15862 443
838591 643783 468
425267 309596 449
562982 105769 470
906306 807870 450
617267 767835 442
555044 501309 470
696450 618421 442
228477 223416 368
220068 661778 470
759582 739847 424
292872 574849 470
687006 192445 470
864519 708033 468
319177 908112 470
706258 579340 447
438178 544850 470
737328 377649 470
368650 814514 470
483418 789160 470
136589 614889 470
556995 691633 447
630402 253446 470
824258 858879 419
991065 44326 476
34862 264852 443
298377 327733 384
839700 499587 470
34382 218425 386
207621 867762 470
126537 913878 476
961307 564714 476
972932 698635 476
456567 855786 470
27354 939984 476
644947 163942 470
69078 201942 383
855574 699480 468
969591 194037 476
558359 960657 476
752567 107425 470
739713 50944 470
949361 579414 476
550531 497947 470
312043 272356 389
365709 438579 449
186234 841220 470
517497 673371 452
539855 974063 476
529157 81413 470
428253 174104 449
245355 497330 449
890250 615133 468
196810 859841 470
809170 269373 470
334703 75942 443
891001 74417 470
126885 354567 443
168035 191620 365
852513 480077 470
463975 732427 470
432860 164414 449
573647 950356 476
351989 627707 470
438624 881145 470
709119 381081 470
569454 954473 476
878411 459704 470
83812 589425 470
833749 892981 432
373003 168453 443
483127 264004 449
757073 124216 470
132776 439312 449
315836 985288 476
919388 294015 476
231920 866452 470
972632 805567 476
331013 324621 353
947478 769636 476
205767 170802 365
150718 289425 443
125276 543333 470
263333 723291 470
646962 97082 470
130477 19965 354
779738 613603 468
798173 536811 468
737818 930948 476
490327 567858 470
430441 923919 476
861873 176566 470
790371 834505 468
982132 121384 476
673331 443815 470
405225 393302 405
614616 70147 470
682726 254096 470
613479 946058 476
977386 774645 476
557344 107863 470
794610 337083 470
721465 106988 470
388098 973488 476
552140 878425 468
541346 982580 476
316549 917423 476
159146 106921 383
266134 655482 470
742508 939464 476
613501 147733 470
332766 228118 443
217879 529696 470
996417 345562 476
989958 973804 427
634412 547302 447
595871 943226 476
398589 831541 470
50214 786687 470
805029 602353 468
179317 346375 443
99138 495865 449
263799 772488 470
116990 529932 470
942174 859498 476
983600 555676 476
7231 830570 470
297998 739314 470
360266 294415 441
599080 350224 470
782423 747696 468
411730 378295 449
690922 810319 468
209836 741135 470
111211 529069 470
857692 290527 470
389648 471035 449
300596 653446 470
243523 417586 449
697582 699901 367
791288 195387 470
769781 312723 470
25957 67779 340
566241 386222 470
876398 165322 470
250650 173026 443
913017 176585 476
65525 118145 354
986903 275360 476
859279 98114 470
318633 231177 407
902844 708281 468
702211 717644 411
875931 459938 470
135230 87719 354
159839 440722 449
283105 929620 476
753445 309062 470
511603 319686 449
209488 902205 470
999211 974342 427
75232 426434 449
150927 140756 375
544578 652034 452
930320 403857 476
750147 248953 470
149238 167196 383
957233 851448 476
884839 347370 470
311386 534274 470
435088 471225 444
974995 718192 476
915049 728440 476
541458 940856 476
562331 750946 447
843062 561542 468
239493 918293 476
987975 390419 476
59049 532553 470
42453 503573 449
936410 306804 476
752526 599852 447
988203 223964 476
451301 387247 449
571333 762686 447
921520 6421 476
748115 410721 470
238818 177369 443
653365 780275 468
118226 215696 383
45426 961287 476
777238 284918 470
393785 765213 470
675336 967037 476
297767 231993 407
470611 748381 470
53001 737341 470
348233 41204 443
475509 313738 449
428451 561047 470
590629 864175 468
81672 852948 470
789100 320489 470
30318 442466 449
614969 662747 447
172366 660394 470
624034 463808 470
945312 532023 476
229022 134853 386
499060 40993 449
881050 483875 470
303578 934050 476
221216 166015 386
489459 210930 449
479753 432114 444
771976 70382 470
810493 853647 450
923329 599594 476
174137 467851 449
556264 303310 470
130598 242834 443
963703 268836 476
706642 423220 470
315063 449868 449
72278 814123 470
490860 953327 476
812202 308642 470
401582 33419 443
474656 891040 470
244348 468613 449
837358 530528 468
53199 647852 470
384175 490733 449
761650 72516 470
958583 317914 476
375825 603386 470
560747 853733 468
386426 267389 441
276953 701489 470
717256 349230 470
29817 722320 470
816761 842018 450
30962 218344 386
389641 19823 443
623588 148193 470
2640 460947 449
678720 55839 470
623003 62896 470
546571 384653 470
649615 19359 470
702566 539645 452
136949 777517 470
393378 523375 470
559111 670330 447
739068 790571 468
533765 768884 468
512892 350526 470
610902 58058 470
83074 544 351
592084 706662 447
148736 594724 470
681813 341661 470
164767 304816 443
918760 711337 476
689468 568375 447
244900 906238 470
108020 381849 443
197960 15602 383
419428 757070 470
200137 158496 370
61847 733901 470
927379 88943 476
598631 52486 470
147000 681705 470
567233 253289 470
388367 230174 443
362217 584384 470
571834 526983 452
889199 490594 470
752524 92872 470
573173 511628 470
513314 195398 470
893476 225478 470
210999 827108 470
982548 411135 476
985603 558599 476
659240 427187 470
647541 772076 468
479673 308745 449
453781 561110 470
562033 356352 470
791283 438454 470
454940 877321 470
965436 344139 476
882119 232165 470
951214 455293 476
743793 978732 476
650690 151474 470
204210 375893 443
978582 700962 476
301233 478390 449
259561 474677 449
905577 907101 370
246753 899454 470
215847 214738 280
974768 292084 476
85294 766052 470
730538 540233 452
157578 210179 373
398576 39698 443
442344 349790 449
494990 700341 470
842726 659884 468
851814 46937 470
549981 344601 470
262103 851213 470
822991 35869 470
325891 242773 407
942969 86848 476
142227 673020 470
301586 116995 443
479309 901083 470
397251 209847 443
441317 554829 470
420025 839892 470
108731 376573 443
703887 117925 470
76914 546613 470
777808 442933 470
107754 841993 470
787533 884061 468
693207 124729 470
919929 533302 476
367501 377103 423
134354 23932 354
564328 950143 476
655131 43637 470
851227 566586 468
767687 292544 470
635619 187712 470
646640 744349 442
78490 350527 443
862273 155403 470
411345 154286 449
112540 33303 354
510484 414278 444
431568 203691 449
539006 865701 468
251197 420712 449
242805 385550 441
958847 321337 476
335694 613978 470
364973 701125 470
694769 132660 470
993668 330388 476
834575 154513 470
588942 913064 476
505040 965419 476
582672 430589 470
119706 209416 383
978095 630189 476
623693 409664 470
348084 162700 443
275365 113485 443
97616 32374 351
499034 56463 449
353710 348932 379
184646 232887 443
50057 879414 470
879750 557929 468
209802 228531 386
712442 798743 468
655799 731686 442
764163 238471 470
676479 398073 470
962091 654574 476
542466 585784 452
578442 404754 470
262688 368012 441
518238 360303 470
914589 531476 476
930970 782504 476
394613 115616 443
15391 444669 449
995029 409346 476
516803 719035 452
637876 743449 442
31984 293675 443
475135 310351 449
46351 665818 470
708423 8442 470
834596 765093 468
594225 413039 470
169847 371118 443
295255 688084 470
245625 209844 443
733764 176595 470
506552 128377 449
806414 521943 468
==13896== 
==13896== HEAP SUMMARY:
==13896==     in use at exit: 122,880 bytes in 6 blocks
==13896==   total heap usage: 6 allocs, 0 frees, 122,880 bytes allocated
==13896== 
==13896== LEAK SUMMARY:
==13896==    definitely lost: 0 bytes in 0 blocks
==13896==    indirectly lost: 0 bytes in 0 blocks
==13896==      possibly lost: 0 bytes in 0 blocks
==13896==    still reachable: 122,880 bytes in 6 blocks
==13896==         suppressed: 0 bytes in 0 blocks
==13896== Rerun with --leak-check=full to see details of leaked memory
==13896== 
==13896== For counts of detected and suppressed errors, rerun with: -v
==13896== ERROR SUMMARY: 0 errors from 0 contexts (suppressed: 18 from 7)
